	differentiation	differentiation	differentiation	differentiation	lower	lower	lower	lower	upper	upper	upper	upper	upper_vs_lower	upper_vs_lower	upper_vs_lower	upper_vs_lower
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
ABL1	0.642971793323641	-1.887318503067739	5	5	0.38434375366436746	13.020680970766946	5	5	0.30116136978010655	-8.707082407353614	4	4	0.10295075886652041	-17.81448313821206	4	4
ABL2	0.6662410733825652	-7.5580867901170405	10	10	0.10705480478301906	1.1304402847216093	7	7	0.8288406407605851	-3.1965904326773944	8	8	0.1121524980503921	-2.1659657282838354	7	7
ABO	0.6741780650784059	-9.592831348021692	10	10	0.6079941948463097	10.453147979026951	7	7	0.10166380241877568	4.1334590785989755	10	10	0.5241946074032294	-7.4908128997301135	9	9
ACACA	0.5760339227727577	-2.406897220700867	2	2	0.5375629227149763	9.161704047945948	1	1	0.15405524179551439	-10.160801987912599	1	1	0.12119836050275437	-17.751246561478784	1	1
ACACB	0.7455038238606116	-7.345611392073111	10	10	0.29905005271401375	8.271109865301318	8	8	0.023211000575610517	-9.939523754918588	7	7	0.2913486593404222	-10.885247573892917	4	4
ACAD8	0.734530327356215	-5.28345628745757	5	5	0.16521987117199044	-1.2932668263750642	3	3	0.41528886249379837	3.2949703608039376	5	5	0.04638855816736513	3.7983312045024875	4	4
ACADS	0.8370828376302666	-1.7453110705836756	4	4	0.04012466854176352	12.675959094407995	4	4	0.4493873843012053	0.15874004619451423	4	4	0.13483850080849313	-11.059825995526067	4	4
ACADSB	0.7962387620568715	-5.292552299037525	5	5	0.07676469029104925	10.4357407286236	3	3	0.45557435966185855	-5.635960815258013	3	3	0.025385517473122562	-14.500442069501846	3	3
ACAN	0.32403221939848137	-8.290234981893347	5	5	0.4282529077397984	6.495844123885655	3	3	0.9949234903943104	-3.3629743199094166	2	2	0.5153359195089745	-7.697387108338894	2	2
ACAT1	0.5276842830601596	-2.1116052260010334	5	5	0.8045521659197685	3.0221317733627564	4	4	0.5279686378321821	-1.62825026178431	4	4	0.33334265231380633	0.28337716247174366	3	3
ACAT2	0.9975177382557646	-3.9827914309007393	5	5	0.3958101835191862	4.901227580718381	4	4	0.13292381209972526	-6.789587358660326	3	3	0.5153359195089745	-7.774070093163553	2	2
ACCS	0.9132920730735067	-2.535458560977843	5	5	0.5187087378768453	6.360962928669348	4	4	0.8508842762808849	-4.546968810112252	4	4	0.9374795878480127	-6.354454003964917	3	3
ACE	0.045295471674765914	-4.392408170000823	10	10	0.28507669198261876	11.59886740329822	9	9	0.935548475699607	-3.851160430739348	10	10	0.39259388390111427	-7.424879284928174	8	8
ACE2	0.8665854781960303	-7.880485477283405	5	5	0.6329646623089908	4.7229860918645485	3	3	0.46818977533567774	-3.8604371340464056	3	3	0.29446852463267126	-8.836665570219317	1	1
ACHE	0.7192755885173232	-4.936088000234139	10	10	0.825731682207556	13.488328928370679	9	9	0.5453771518835492	-9.339891283286127	8	8	0.3439469850074647	-15.479091786836127	7	7
