	Diff	Lower	T0	Upper
	Rep1	Rep1	Rep1	Rep1
sgId				
ADRA1A_-_26724356.23-P1P2	5297	2	1074	0
ADRA1A_-_26724373.23-P1P2	1	0	559	0
ADRA1B_+_159343520.23-P1P2	4234	4	2982	1926
ADRA1B_+_159344209.23-P1P2	2587	0	422	2140
ADRA1B_+_159344222.23-P1P2	2	0	656	1378
ADRA1B_-_159343504.23-P1P2	5813	5528	1587	1563
ADRA1B_-_159343900.23-P1P2	1133	2598	710	1
ADRA1D_+_4229485.23-P1P2	1325	6	1312	3869
ADRA1D_-_4229164.23-P1P2	4	0	2747	2
ADRA1D_-_4229250.23-P1P2	2768	2	1069	2
ADRA1D_-_4229495.23-P1P2	2279	887	1296	1541
ADRA1D_-_4229926.23-P1P2	395	3072	1322	1244
ADRA2A_-_112837142.23-P1P2	2838	0	1775	2
ADRA2A_-_112837201.23-P1P2	1930	5	1683	3268
ADRA2A_-_112837216.23-P1P2	0	0	0	0
ADRA2A_-_112837238.23-P1P2	799	0	906	0
ADRA2A_-_112837251.23-P1P2	3219	0	318	0
ADRA2B_+_96781839.23-P1P2	2434	7	1268	3193
ADRA2B_-_96781873.23-P1P2	2	0	1299	0
ADRA2B_-_96781894.23-P1P2	0	0	881	0
ADRA2B_-_96782243.23-P1P2	1	1	805	1944
ADRA2B_-_96782246.23-P1P2	1175	0	0	0
ADRA2C_+_3768074.23-P1P2	929	2	1553	2485
ADRA2C_+_3768082.23-P1P2	3810	6	3578	3654
ADRA2C_+_3768098.23-P1P2	515	0	828	2
ADRA2C_-_3767700.23-P1P2	1	0	539	1867
ADRA2C_-_3767888.23-P1P2	1902	1	3074	2
ADRB1_+_115804002.23-P1P2	3	1	962	1851
ADRB1_-_115803895.23-P1P2	3247	1672	1712	638
ADRB1_-_115804061.23-P1P2	3052	5026	3193	6959
ADRB1_-_115804069.23-P1P2	824	3	1597	2127
ADRB1_-_115804075.23-P1P2	1474	3079	1509	1518
ADRB2_+_148206220.23-P1P2	5724	2091	2315	1899
ADRB2_+_148206227.23-P1P2	2988	4929	1811	2
ADRB2_-_148206186.23-P1P2	2842	1	1422	3132
ADRB2_-_148206207.23-P1P2	2270	1	1781	1894
ADRB2_-_148206413.23-P1P2	1091	3	1878	1
ADRB3_+_37822768.23-P1P2	1184	3069	859	1493
ADRB3_-_37822919.23-P1P2	1411	1	546	1222
ADRB3_-_37823380.23-P1P2	524	0	1424	3710
ADRB3_-_37823667.23-P1P2	1374	5864	1851	3408
ADRB3_-_37823742.23-P1P2	1526	0	776	2080
ADRBK1_+_67033933.23-P1P2	1368	4502	1822	2756
ADRBK1_+_67034195.23-P1P2	1	0	296	0
ADRBK1_+_67034566.23-P1P2	5219	2	1624	2
ADRBK1_-_67033953.23-P1P2	2	5026	881	2
ADRBK1_-_67034001.23-P1P2	1965	2	1364	1319
ADRBK2_+_25960616.23-P1P2	5097	5465	2081	7756
ADRBK2_-_25960625.23-P1P2	4125	2776	2313	1876
ADRBK2_-_25960628.23-P1P2	0	0	113	0
ADRBK2_-_25960707.23-P1P2	4335	6	4146	3139
ADRBK2_-_25960854.23-P1P2	2207	1	989	57
ADSSL1_+_105190776.23-P1P2	3415	8	2087	3195
ADSSL1_+_105190789.23-P1P2	4707	3	2886	1492
ADSSL1_+_105190984.23-P1P2	1455	1	599	1
ADSSL1_-_105190591.23-P1P2	2586	1563	1994	1695
ADSSL1_-_105190615.23-P1P2	2686	4807	1276	1867
AFG3L2_+_12377215.23-P1P2	0	0	26	0
AFG3L2_-_12377072.23-P1P2	0	0	0	0
AFG3L2_-_12377209.23-P1P2	0	0	76	0
AFG3L2_-_12377212.23-P1P2	0	0	97	0
AFG3L2_-_12377232.23-P1P2	0	0	0	0
