Gene	sgRNA	Lower|beta	Lower|z	Lower|p-value	Lower|fdr	Lower|wald-p-value	Lower|wald-fdr	Upper|beta	Upper|z	Upper|p-value	Upper|fdr	Upper|wald-p-value	Upper|wald-fdr
SIRPA	4	-1.8959	-0.37828	0.24776	0.96267	0.70523	0.99608	2.5732	0.54006	0.14382	0.93333	0.58915	1
SIRPD	2	2.3997	0.3882	0.81496	0.99511	0.69787	0.99608	0.5683	0.09279	0.88038	0.9943	0.92607	1
SIRT3	3	3.7076	0.1701	0.46819	0.96267	0.86494	0.99608	-0.28473	-0.01254	0.21998	0.94981	0.98999	1
SI	4	-2.1427	-3.5175	0.20341	0.96267	0.00043566	0.065957	-4.8744	-7.9866	0.0089606	0.92557	1.3873e-15	1.5483e-12
SKP1	2	-1.6226	-0.069487	0.65547	0.99511	0.9446	0.99608	3.5534	0.15554	0.037634	0.92557	0.8764	1
SKP2	4	5.0642	0.066952	0.077957	0.96267	0.94662	0.99608	2.2724	0.030041	0.25896	0.97148	0.97603	1
SLC12A1	7	0.3482	2.128	0.90457	0.99764	0.033335	0.46048	0.026088	0.15768	0.33692	0.97823	0.87471	1
SLC12A2	5	5.4315	0.061097	0.018369	0.77358	0.95128	0.99608	2.5861	0.029085	0.10753	0.92557	0.9768	1
SLC12A3	4	3.8901	0.17789	0.3526	0.96267	0.85881	0.99608	1.8726	0.085631	0.46192	0.99043	0.93176	1
SLC12A4	5	-2.2402	-0.96406	0.13082	0.96267	0.33502	0.78463	1.8744	0.84888	0.39919	0.98251	0.39595	1
SLC12A5	6	0.12529	1.4742	0.1586	0.96267	0.14042	0.52303	0.032595	0.3779	0.56452	0.9943	0.7055	1
SLC12A6	6	-2.7433	-2.1233	0.024194	0.88525	0.033732	0.46048	0.34565	0.33835	0.90547	0.9943	0.7351	1
SLC12A7	2	0.020341	0.062562	0.81272	0.99511	0.95012	0.99608	0.43961	1.2054	0.82482	0.9943	0.22803	1
SLC13A1	2	1.796	0.36935	0.87052	0.99764	0.71186	0.99608	1.5914	0.32795	0.72446	0.9943	0.74295	1
SLC13A2	2	3.9825	0.086788	0.46685	0.96267	0.93084	0.99608	3.8407	0.084239	0.018369	0.92557	0.93287	1
SLC13A3	5	1.6273	0.29079	0.74776	0.99511	0.77121	0.99608	2.6312	0.47942	0.094086	0.92557	0.63164	1
SLC16A1	5	0.24873	1.8318	0.681	0.99511	0.066987	0.47939	3.0595e-05	0.00022253	0.12724	0.92557	0.99982	1
SLC16A2	4	4.7136	0.077983	0.13889	0.96267	0.93784	0.99608	2.5149	0.041605	0.16443	0.93333	0.96681	1
SLC16A3	4	-2.7684	-2.5944	0.06138	0.96267	0.0094769	0.28871	0.74661	0.82417	0.90323	0.9943	0.40984	1
SLC16A4	3	1.759	0.59313	0.90905	0.99764	0.55309	0.99608	-5.4972	-1.6005	0.0013441	0.66667	0.10949	1
SLC16A5	2	0.1206	1.476	0.81586	0.99511	0.13995	0.52303	0.020538	0.24781	0.58423	0.9943	0.80428	1
SLC16A6	3	2.5318	0.33562	0.76703	0.99511	0.73716	0.99608	0.92855	0.1244	0.93683	0.9943	0.901	1
SLC16A7	2	0.49103	1.1545	0.90278	0.99764	0.2483	0.60701	0.15848	0.36453	0.71998	0.9943	0.71546	1
SLC16A8	2	-2.9249	-3.5106	0.0569	0.96267	0.00044712	0.065957	-4.2826	-5.0661	0.15771	0.93333	4.0599e-07	1.8493e-05
SLC18A1	3	0.2697	1.3135	0.85618	0.99764	0.18902	0.56878	0.09344	0.4398	0.73029	0.9943	0.66008	1
SLC18A2	5	0.64033	1.4755	0.91891	0.99764	0.14009	0.52303	0.099462	0.22436	0.84095	0.9943	0.82248	1
SLC19A2	3	2.4237	0.22215	0.79346	0.99511	0.82419	0.99608	2.7137	0.24951	0.16039	0.93333	0.80297	1
SLC19A3	4	0.12497	1.4808	0.36962	0.96267	0.13865	0.52303	0.011316	0.13214	0.33423	0.97823	0.89487	1
SLC1A1	3	2.2524	0.40196	0.82751	0.99515	0.68772	0.99608	1.5424	0.28209	0.69086	0.9943	0.77788	1
SLC1A2	3	-2.1628	-3.1229	0.28136	0.96267	0.0017909	0.12259	-4.52	-6.5171	0.044803	0.92557	7.1666e-11	1.0664e-08
SLC1A3	3	0.46173	1.1743	0.97625	0.99866	0.24027	0.60412	0.17452	0.43257	0.82796	0.9943	0.66533	1
SLC1A4	5	2.8293	0.38582	0.57482	0.97567	0.69963	0.99608	0.25701	0.034616	0.97715	0.99909	0.97239	1
SLC1A5	7	3.4337	0.33943	0.36111	0.96267	0.73428	0.99608	0.77863	0.076448	0.7509	0.9943	0.93906	1
SLC1A6	4	2.8779	0.39602	0.5681	0.97165	0.69209	0.99608	0.31549	0.042496	0.98297	0.99909	0.9661	1
SLC1A7	4	0.14942	1.4911	0.48701	0.96267	0.13595	0.52303	0.017313	0.17035	0.44534	0.98521	0.86474	1
SLC22A11	3	-2.0689	-0.66578	0.31183	0.96267	0.50555	0.99608	1.2016	0.43973	0.8405	0.9943	0.66013	1
SLC22A4	3	3.9807	0.1354	0.40457	0.96267	0.89229	0.99608	1.1932	0.040565	0.84319	0.9943	0.96764	1
SLC22A5	4	2.0511	0.39618	0.72312	0.99511	0.69197	0.99608	1.9508	0.38478	0.42339	0.98521	0.7004	1
SLC22A6	5	3.1235	0.31643	0.50403	0.96267	0.75168	0.99608	0.22455	0.022518	0.99552	0.9991	0.98203	1
SLC22A8	2	3.6444	0.11789	0.54256	0.96267	0.90615	0.99608	2.7197	0.088028	0.25582	0.97109	0.92985	1
SLC23A1	1	5.8922	0.016476	0.15995	0.96267	0.98685	0.99608	-3.6522	-0.010246	0.6707	0.9943	0.99182	1
SLC25A10	3	2.4372	0.36531	0.79032	0.99511	0.71488	0.99608	1.3943	0.21156	0.76478	0.9943	0.83245	1
SLC25A12	3	2.4528	0.31966	0.7845	0.99511	0.74923	0.99608	1.863	0.24757	0.53405	0.9943	0.80446	1
SLC25A13	4	0.14876	1.4627	0.48342	0.96267	0.14354	0.52303	0.0098369	0.095364	0.31138	0.97823	0.92403	1
