	lower	lower	lower	lower	upper	upper	upper	upper
	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1	Rep1
	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg	Mann-Whitney p-value	average phenotype of strongest 3	sgRNA count_MW	sgRNA count_avg
gene								
AKAP9	0.2242372173604591	1.0044059251516082	4	4	0.21190858551939118	-6.70832490584088	4	4
AKR1A1	0.7841482640651353	3.7767533780183173	2	2	0.6668744210348194	-4.029785482065211	2	2
AKR1B1	0.829183124044773	9.168538066918936	5	5	0.6378362581530908	-3.4137236358383256	5	5
AKR1B10	0.6103348841762416	2.3159454809293876	3	3	0.5838185475743407	-1.9284150605049584	3	3
AKT1	0.5009128235754552	-0.7800208367748649	2	2	0.08094220724694863	2.011876978491293	2	2
AKT2	0.42960193548417813	1.8688407876563147	3	3	0.3266065177957045	-6.035384441411189	3	3
AKT3	0.5057874693232971	2.6411950485220186	4	4	0.9167835608496743	-3.5164673008710534	4	4
ALAS1	0.4914818051850972	5.963779505192122	3	3	0.6881940671879533	-5.275041558956807	3	3
ALAS2	0.8285371673906146	2.918770411895116	3	3	0.6649010815412519	0.23610039743200392	3	3
ALDH18A1	0.041511749007204835	10.018062531486065	3	3	0.7308634197198782	-2.133456621174341	3	3
ALDH1A2	0.5496970627594353	6.105901338038912	5	5	0.2677892787241867	-1.0429267586639925	5	5
ALDH1B1	0.47557743448155543	4.591287549346647	3	3	0.40761766300650815	-1.233320444963614	3	3
ALDH1L1	0.1420215999638235	8.991172456671622	4	4	0.7455920838764607	0.2389677229392669	4	4
ALDH3A1	0.9124209392183963	5.526302592376194	4	4	0.11576683664017645	-8.823778996243414	4	4
ALDH3A2	0.6560013687655859	3.092767539435926	4	4	0.4381049895026802	-8.72587245205573	4	4
ALDH3B1	0.37650126080187063	4.948727458315507	2	2	0.9438467162032397	-0.018286356347430643	2	2
ALDH4A1	0.6167700247691581	3.253890235421729	4	4	0.951763803111252	-5.620872030364306	4	4
ALDH5A1	0.34647340469497234	10.184791148617373	5	5	0.33161161069499445	-4.499859835007083	5	5
ALDH9A1	0.4522595525671629	-0.7247343878597707	3	3	0.48349379424690464	-1.9111613201603375	3	3
ALK	0.33573662372063895	8.58403786703219	2	2	0.4112179464629011	-4.624613807985755	2	2
ALLC	0.600031123579649	4.569660235161292	2	2	0.8204547448216611	-0.3496479716068659	2	2
ALOX5	0.2807006182672762	6.904891208353614	5	5	0.18553044809231212	-9.316426411119584	5	5
ALPI	0.1141650422536768	7.444467216821772	3	3	0.27324022982090423	-1.4237494041644652	3	3
ALPK1	0.09581948504886746	-2.595096415600697	1	1	0.19775894903126978	-9.502838783311775	1	1
ALPK2	0.23922324763524505	-1.6282215499808732	1	1	0.19013868742175954	-9.535066440188118	1	1
ALPK3	0.6556723329678809	-0.37990553427668	3	3	0.7213035919898935	-2.1373016898241635	3	3
ALPL	0.6148574474977769	7.681385043746512	8	8	0.04375293805233534	-5.094922378022556	8	8
